1715353443.874458 server started (3146062): version 2.6, socket /tmp/tmux-1000/default, protocol 8
1715353443.874506 on Linux 5.4.0-155-generic #172-Ubuntu SMP Fri Jul 7 16:10:02 UTC 2023; libevent 2.1.8-stable (poll)
1715353443.875301 add peer 0x564c020cf680: 8 (0x564c020cee30)
1715353443.875313 new client 0x564c020cee30
1715353443.875356 loading /etc/tmux.conf
1715353443.875426 loading /home/irteam/.tmux.conf
1715353443.875447 server loop enter
1715353443.875593 peer 0x564c020cf680 message 100
1715353443.875597 client 0x564c020cee30 IDENTIFY_FLAGS 0x10000
1715353443.875602 peer 0x564c020cf680 message 101
1715353443.875605 client 0x564c020cee30 IDENTIFY_TERM xterm-256color
1715353443.875608 peer 0x564c020cf680 message 102
1715353443.875611 client 0x564c020cee30 IDENTIFY_TTYNAME /dev/pts/25
1715353443.875614 peer 0x564c020cf680 message 108
1715353443.875623 client 0x564c020cee30 IDENTIFY_CWD /home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.875626 peer 0x564c020cf680 message 104
1715353443.875628 client 0x564c020cee30 IDENTIFY_STDIN 6
1715353443.875632 cmdq_next <global>: enter
1715353443.875636 cmdq_next <global>: command[bind-key] (0), flags 0
1715353450.301646 session 0 not pasting
1715353450.301650 key table root (pane %0)
1715353450.301654 not found in key table root
1715353450.301659 writing key 0x1a (C-z) to %0
1715353450.301666 cmdq_next <global>: empty
1715353450.301670 cmdq_next <0x564c020cee30>: empty
1715353450.301677 @0 active pane not changed
1715353450.301691 cmdq_next <global>: empty
1715353450.302566 cmdq_next <0x564c020cee30>: empty
1715353450.302571 @0 active pane not changed
1715353454.577537 /dev/pts/25: read 1 bytes (already 0)
1715353454.577573 /dev/pts/25: keys are 1 (:)
1715353454.577579 /dev/pts/25: next key is 1 (:) (expired=0)
1715353454.577584 /dev/pts/25: complete key : 0x3a
1715353454.577590 session 0 activity 1715353454.577587 (last 1715353450.301625)
1715353454.577596 cmd_find_from_session: s=$0
1715353454.577600 cmd_find_from_session: wl=0 1 w=@0 bash
1715353454.577603 cmd_find_from_session: wp=%0
1715353454.577606 cmd_find_from_session: idx=none
1715353454.577609 session 0 not pasting
1715353454.577613 key table root (pane %0)
1715353454.577616 not found in key table root
1715353454.577621 writing key 0x3a (:) to %0
1715353454.577628 cmdq_next <global>: empty
1715353454.577633 cmdq_next <0x564c020cee30>: empty
1715353454.577640 @0 active pane not changed
1715353454.577652 cmdq_next <global>: empty
1715353454.577656 cmdq_next <0x564c020cee30>: empty
1715353454.577659 @0 active pane not changed
1715353454.577740 %0 has 1 bytes
1715353454.578406 @0 alerts timer reset 0
1715353454.578415 screen_write_start: size 251x21, pane %0
1715353454.578420 input_parse: %0 ground, 1 bytes: :
1715353454.578426 screen_write_collect_end: 1 : (at 57,11)
1715353454.578433 /dev/pts/25: :
1715353454.578438 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353454.578444 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353454.578466 cmdq_next <global>: empty
1715353454.578470 cmdq_next <0x564c020cee30>: empty
1715353454.578473 @0 active pane changed
1715353454.578538 format '#{pane_current_command}' -> 'bash'
1715353454.578543 format '' -> ''
1715353454.578547 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353454.578555 @0 name not changed (still bash)
1715353454.578567 /dev/pts/25: wrote 1 bytes (of 1)
1715353454.578570 cmdq_next <global>: empty
1715353454.578573 cmdq_next <0x564c020cee30>: empty
1715353454.578576 @0 active pane not changed
1715353454.806900 /dev/pts/25: read 1 bytes (already 0)
1715353454.806935 /dev/pts/25: keys are 1 (q)
1715353454.806947 /dev/pts/25: next key is 1 (q) (expired=0)
1715353454.806951 /dev/pts/25: complete key q 0x71
1715353454.806957 session 0 activity 1715353454.806954 (last 1715353454.577587)
1715353454.806963 cmd_find_from_session: s=$0
1715353454.806966 cmd_find_from_session: wl=0 1 w=@0 bash
1715353454.806969 cmd_find_from_session: wp=%0
1715353454.806972 cmd_find_from_session: idx=none
1715353454.806975 session 0 not pasting
1715353454.806979 key table root (pane %0)
1715353454.806983 not found in key table root
1715353454.806987 writing key 0x71 (q) to %0
1715353454.806994 cmdq_next <global>: empty
1715353454.806998 cmdq_next <0x564c020cee30>: empty
1715353454.807006 @0 active pane not changed
1715353454.807019 cmdq_next <global>: empty
1715353454.807868 cmdq_next <0x564c020cee30>: empty
1715353454.807879 @0 active pane not changed
1715353454.807900 %0 has 1 bytes
1715353454.807909 @0 alerts timer reset 0
1715353454.807920 screen_write_start: size 251x21, pane %0
1715353454.807929 input_parse: %0 ground, 1 bytes: q
1715353454.807937 screen_write_collect_end: 1 q (at 58,11)
1715353454.807946 /dev/pts/25: q
1715353454.807956 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353454.807963 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353454.807992 cmdq_next <global>: empty
1715353454.807999 cmdq_next <0x564c020cee30>: empty
1715353454.808006 @0 active pane changed
1715353454.808013 @0 name timer queued (270465 left)
1715353454.808033 /dev/pts/25: wrote 1 bytes (of 1)
1715353454.808040 cmdq_next <global>: empty
1715353454.808046 cmdq_next <0x564c020cee30>: empty
1715353454.808053 @0 active pane changed
1715353454.808059 @0 name timer already queued (270418 left)
1715353455.068112 /dev/pts/25: read 1 bytes (already 0)
1715353455.068143 /dev/pts/25: keys are 1 (\r)
1715353455.068149 /dev/pts/25: next key is 1 (\r) (expired=0)
1715353455.068154 /dev/pts/25: complete key \r 0xd
1715353455.068160 session 0 activity 1715353455.068157 (last 1715353454.806954)
1715353455.068166 cmd_find_from_session: s=$0
1715353455.068170 cmd_find_from_session: wl=0 1 w=@0 bash
1715353455.068173 cmd_find_from_session: wp=%0
1715353455.068175 cmd_find_from_session: idx=none
1715353455.068179 session 0 not pasting
1715353455.068182 key table root (pane %0)
1715353455.068185 not found in key table root
1715353455.068190 writing key 0xd (Enter) to %0
1715353455.068197 cmdq_next <global>: empty
1715353455.068201 cmdq_next <0x564c020cee30>: empty
1715353455.068207 @0 active pane changed
1715353455.068211 @0 name timer already queued (10265 left)
1715353455.068222 cmdq_next <global>: empty
1715353455.068952 cmdq_next <0x564c020cee30>: empty
1715353455.068959 @0 active pane changed
1715353455.068963 @0 name timer already queued (9513 left)
1715353455.068974 %0 has 2 bytes
1715353455.068980 @0 alerts timer reset 0
1715353455.069006 screen_write_start: size 251x21, pane %0
1715353455.069011 input_parse: %0 ground, 2 bytes: \r\n
1715353455.069015 input_c0_dispatch: '\r'
1715353455.069017 input_c0_dispatch: '\n'
1715353455.069021 screen_write_linefeed: at 0,11 (region 0-20)
1715353455.069024 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353455.069028 screen_write_stop: 0 cells (0 written, 0 skipped)
1715353455.069034 cmdq_next <global>: empty
1715353455.069037 cmdq_next <0x564c020cee30>: empty
1715353455.069041 /dev/pts/25: \r
1715353455.069044 /dev/pts/25: \n
1715353455.069048 @0 active pane changed
1715353455.069051 @0 name timer already queued (9425 left)
1715353455.069074 %0 has 30 bytes
1715353455.069078 @0 alerts timer reset 0
1715353455.069082 screen_write_start: size 251x21, pane %0
1715353455.069086 input_parse: %0 ground, 30 bytes: -bash: :q: command not found\r\n
1715353455.069091 screen_write_collect_end: 28 -bash: :q: command not found (at 0,12)
1715353455.069096 input_c0_dispatch: '\r'
1715353455.069099 input_c0_dispatch: '\n'
1715353455.069102 screen_write_linefeed: at 0,12 (region 0-20)
1715353455.069105 /dev/pts/25: -bash: :q: command not found
1715353455.069109 screen_write_collect_flush: flushed 1 items (28 bytes)
1715353455.069117 screen_write_stop: 28 cells (28 written, 0 skipped)
1715353455.069126 /dev/pts/25: wrote 30 bytes (of 30)
1715353455.069129 cmdq_next <global>: empty
1715353455.069132 cmdq_next <0x564c020cee30>: empty
1715353455.069135 /dev/pts/25: \r
1715353455.069137 /dev/pts/25: \n
1715353455.069140 @0 active pane changed
1715353455.069143 @0 name timer already queued (9333 left)
1715353455.069151 /dev/pts/25: wrote 2 bytes (of 2)
1715353455.069154 cmdq_next <global>: empty
1715353455.069156 cmdq_next <0x564c020cee30>: empty
1715353455.069159 @0 active pane changed
1715353455.069162 @0 name timer already queued (9313 left)
1715353455.069907 %0 has 137 bytes
1715353455.070329 @0 alerts timer reset 0
1715353455.070339 screen_write_start: size 251x21, pane %0
1715353455.070351 input_parse: %0 ground, 137 bytes: (base) \033]0;irteam@4f8a8e02f8db: ~/rkdtjdals97-dcloud-dir/MBC\a\033[01;32mirteam@4f8a8e02f8db\033[00m:\033[01;34m~/rkdtjdals97-dcloud-dir/MBC\033[00m$ 
1715353455.070361 screen_write_collect_end: 7 (base)  (at 0,13)
1715353455.070369 input_enter_osc
1715353455.070382 input_exit_osc: "0;irteam@4f8a8e02f8db: ~/rkdtjdals97-dcloud-dir/MBC"
1715353455.070396 input_csi_dispatch: 'm' "" "01;32"
1715353455.070412 screen_write_collect_end: 19 irteam@4f8a8e02f8db (at 7,13)
1715353455.070420 input_csi_dispatch: 'm' "" "00"
1715353455.070427 screen_write_collect_end: 1 : (at 26,13)
1715353455.070435 input_csi_dispatch: 'm' "" "01;34"
1715353455.070444 screen_write_collect_end: 28 ~/rkdtjdals97-dcloud-dir/MBC (at 27,13)
1715353455.070451 input_csi_dispatch: 'm' "" "00"
1715353455.070459 screen_write_collect_end: 2 $  (at 55,13)
1715353455.070466 /dev/pts/25: (base) 
1715353455.070481 /dev/pts/25: \033[32m
1715353455.070487 /dev/pts/25: \033[1m
1715353455.070493 /dev/pts/25: irteam@4f8a8e02f8db
1715353455.070500 /dev/pts/25: \033(B\033[m
1715353455.070506 /dev/pts/25: :
1715353455.070533 /dev/pts/25: \033[34m
1715353455.070536 /dev/pts/25: \033[1m
1715353455.070539 /dev/pts/25: ~/rkdtjdals97-dcloud-dir/MBC
1715353455.070542 /dev/pts/25: \033(B\033[m
1715353455.070544 /dev/pts/25: $ 
1715353455.070548 screen_write_collect_flush: flushed 5 items (57 bytes)
1715353455.070551 screen_write_stop: 57 cells (57 written, 0 skipped)
1715353455.070556 cmdq_next <global>: empty
1715353455.070559 cmdq_next <0x564c020cee30>: empty
1715353455.070565 screen_write_start: size 251x1, no pane
1715353455.070580 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353455.070583 screen_write_stop: 251 cells (251 written, 0 skipped)
1715353455.070664 format '[#S] ' -> '[0] '
1715353455.070677 unref client 0x564c020cee30 (2 references)
1715353455.070736 format ' "#{=21:pane_title}" 15:04 10-May-24' -> ' "irteam@4f8a8e02f8db: " 15:04 10-May-24'
1715353455.070746 unref client 0x564c020cee30 (2 references)
1715353455.070792 format '#{window_flags}' -> '*'
1715353455.070795 format '#I:#W#{?window_flags,#{window_flags}, }' -> '0:bash*'
1715353455.070804 unref client 0x564c020cee30 (2 references)
1715353455.070810 screen_write_start: size 8x1, no pane
1715353455.070814 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353455.070817 screen_write_stop: 8 cells (8 written, 0 skipped)
1715353455.070820 screen_write_start: size 251x1, no pane
1715353455.070827 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353455.070830 screen_write_stop: 52 cells (46 written, 6 skipped)
1715353455.070839 @0 active pane changed
1715353455.070842 @0 name timer already queued (7634 left)
1715353455.070852 /dev/pts/25: wrote 87 bytes (of 87)
1715353455.070855 cmdq_next <global>: empty
1715353455.070858 cmdq_next <0x564c020cee30>: empty
1715353455.070861 @0 active pane changed
1715353455.070864 @0 name timer already queued (7612 left)
1715353455.077988 @0 name timer expired
1715353455.078030 cmdq_next <global>: empty
1715353455.078041 cmdq_next <0x564c020cee30>: empty
1715353455.078053 @0 active pane changed
1715353455.078060 @0 name timer queued (418 left)
1715353455.080215 @0 name timer expired
1715353455.080242 cmdq_next <global>: empty
1715353455.080258 cmdq_next <0x564c020cee30>: empty
1715353455.080268 @0 active pane changed
1715353455.080377 format '#{pane_current_command}' -> 'bash'
1715353455.081057 format '' -> ''
1715353455.081062 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353455.081072 @0 name not changed (still bash)
1715353458.897983 client 0x564c020cee30, status interval 15
1715353458.898041 cmdq_next <global>: empty
1715353458.898053 cmdq_next <0x564c020cee30>: empty
1715353458.898067 screen_write_start: size 251x1, no pane
1715353458.898108 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353458.898117 screen_write_stop: 251 cells (251 written, 0 skipped)
1715353458.898274 format '[#S] ' -> '[0] '
1715353458.899148 unref client 0x564c020cee30 (2 references)
1715353458.899230 format ' "#{=21:pane_title}" 15:04 10-May-24' -> ' "irteam@4f8a8e02f8db: " 15:04 10-May-24'
1715353458.899243 unref client 0x564c020cee30 (2 references)
1715353458.899289 format '#{window_flags}' -> '*'
1715353458.899293 format '#I:#W#{?window_flags,#{window_flags}, }' -> '0:bash*'
1715353458.899303 unref client 0x564c020cee30 (2 references)
1715353458.899310 screen_write_start: size 8x1, no pane
1715353458.899315 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353458.899319 screen_write_stop: 8 cells (8 written, 0 skipped)
1715353458.899322 screen_write_start: size 251x1, no pane
1715353458.899329 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353458.899332 screen_write_stop: 52 cells (46 written, 6 skipped)
1715353458.899344 @0 active pane not changed
1715353462.700518 /dev/pts/25: read 1 bytes (already 0)
1715353462.700556 /dev/pts/25: keys are 1 (t)
1715353462.700562 /dev/pts/25: next key is 1 (t) (expired=0)
1715353462.700567 /dev/pts/25: complete key t 0x74
1715353462.700575 session 0 activity 1715353462.700571 (last 1715353455.068157)
1715353462.700581 cmd_find_from_session: s=$0
1715353462.700585 cmd_find_from_session: wl=0 1 w=@0 bash
1715353462.700587 cmd_find_from_session: wp=%0
1715353462.700590 cmd_find_from_session: idx=none
1715353462.700594 session 0 not pasting
1715353462.700598 key table root (pane %0)
1715353462.700601 not found in key table root
1715353462.700605 writing key 0x74 (t) to %0
1715353462.700612 cmdq_next <global>: empty
1715353462.700616 cmdq_next <0x564c020cee30>: empty
1715353462.700624 @0 active pane not changed
1715353462.700637 cmdq_next <global>: empty
1715353462.701566 cmdq_next <0x564c020cee30>: empty
1715353462.701571 @0 active pane not changed
1715353462.701582 %0 has 1 bytes
1715353462.701587 @0 alerts timer reset 0
1715353462.701592 screen_write_start: size 251x21, pane %0
1715353462.701596 input_parse: %0 ground, 1 bytes: t
1715353462.701600 screen_write_collect_end: 1 t (at 57,13)
1715353462.701605 /dev/pts/25: t
1715353462.701609 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353462.701613 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353462.701616 cmdq_next <global>: empty
1715353462.701619 cmdq_next <0x564c020cee30>: empty
1715353462.701622 @0 active pane changed
1715353462.701692 format '#{pane_current_command}' -> 'bash'
1715353462.701697 format '' -> ''
1715353462.701701 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353462.701712 @0 name not changed (still bash)
1715353462.701727 /dev/pts/25: wrote 1 bytes (of 1)
1715353462.701731 cmdq_next <global>: empty
1715353462.701734 cmdq_next <0x564c020cee30>: empty
1715353462.701737 @0 active pane not changed
1715353463.730075 /dev/pts/25: read 1 bytes (already 0)
1715353463.730107 /dev/pts/25: keys are 1 (,)
1715353463.730112 /dev/pts/25: next key is 1 (,) (expired=0)
1715353463.730117 /dev/pts/25: complete key , 0x2c
1715353463.730123 session 0 activity 1715353463.730120 (last 1715353462.700571)
1715353463.730128 cmd_find_from_session: s=$0
1715353463.730132 cmd_find_from_session: wl=0 1 w=@0 bash
1715353463.730135 cmd_find_from_session: wp=%0
1715353463.730137 cmd_find_from_session: idx=none
1715353463.730141 session 0 not pasting
1715353463.730151 key table root (pane %0)
1715353463.730154 not found in key table root
1715353463.730159 writing key 0x2c (,) to %0
1715353463.730166 cmdq_next <global>: empty
1715353463.730171 cmdq_next <0x564c020cee30>: empty
1715353463.730178 @0 active pane not changed
1715353463.730190 cmdq_next <global>: empty
1715353463.730194 cmdq_next <0x564c020cee30>: empty
1715353463.730197 @0 active pane not changed
1715353463.730280 %0 has 1 bytes
1715353463.731066 @0 alerts timer reset 0
1715353463.731073 screen_write_start: size 251x21, pane %0
1715353463.731078 input_parse: %0 ground, 1 bytes: ,
1715353463.731083 screen_write_collect_end: 1 , (at 58,13)
1715353463.731088 /dev/pts/25: ,
1715353463.731093 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353463.731096 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353463.731100 cmdq_next <global>: empty
1715353463.731103 cmdq_next <0x564c020cee30>: empty
1715353463.731107 @0 active pane changed
1715353463.731172 format '#{pane_current_command}' -> 'bash'
1715353463.731178 format '' -> ''
1715353463.731182 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353463.731194 @0 name not changed (still bash)
1715353463.731205 /dev/pts/25: wrote 1 bytes (of 1)
1715353463.731208 cmdq_next <global>: empty
1715353463.731212 cmdq_next <0x564c020cee30>: empty
1715353463.731215 @0 active pane not changed
1715353464.070558 /dev/pts/25: read 1 bytes (already 0)
1715353464.070595 /dev/pts/25: keys are 1 (u)
1715353464.070600 /dev/pts/25: next key is 1 (u) (expired=0)
1715353464.070605 /dev/pts/25: complete key u 0x75
1715353464.070611 session 0 activity 1715353464.070608 (last 1715353463.730120)
1715353464.070617 cmd_find_from_session: s=$0
1715353464.070621 cmd_find_from_session: wl=0 1 w=@0 bash
1715353464.070624 cmd_find_from_session: wp=%0
1715353464.070626 cmd_find_from_session: idx=none
1715353464.070630 session 0 not pasting
1715353464.070634 key table root (pane %0)
1715353464.070637 not found in key table root
1715353464.070642 writing key 0x75 (u) to %0
1715353464.070649 cmdq_next <global>: empty
1715353464.070653 cmdq_next <0x564c020cee30>: empty
1715353464.070660 @0 active pane not changed
1715353464.070673 cmdq_next <global>: empty
1715353464.071468 cmdq_next <0x564c020cee30>: empty
1715353464.071480 @0 active pane not changed
1715353464.071503 %0 has 1 bytes
1715353464.071514 @0 alerts timer reset 0
1715353464.071529 screen_write_start: size 251x21, pane %0
1715353464.071541 input_parse: %0 ground, 1 bytes: u
1715353464.071553 screen_write_collect_end: 1 u (at 59,13)
1715353464.071566 /dev/pts/25: u
1715353464.071578 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353464.071589 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353464.071600 cmdq_next <global>: empty
1715353464.071610 cmdq_next <0x564c020cee30>: empty
1715353464.071622 @0 active pane changed
1715353464.071630 @0 name timer queued (159481 left)
1715353464.071655 /dev/pts/25: wrote 1 bytes (of 1)
1715353464.071658 cmdq_next <global>: empty
1715353464.071661 cmdq_next <0x564c020cee30>: empty
1715353464.071664 @0 active pane changed
1715353464.071667 @0 name timer already queued (159443 left)
1715353464.231894 @0 name timer expired
1715353464.231925 cmdq_next <global>: empty
1715353464.231931 cmdq_next <0x564c020cee30>: empty
1715353464.231939 @0 active pane changed
1715353464.232016 format '#{pane_current_command}' -> 'bash'
1715353464.232022 format '' -> ''
1715353464.232865 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353464.232881 @0 name not changed (still bash)
1715353464.495916 /dev/pts/25: read 1 bytes (already 0)
1715353464.495946 /dev/pts/25: keys are 1 (\177)
1715353464.495951 /dev/pts/25: next key is 1 (\177) (expired=0)
1715353464.495956 /dev/pts/25: complete key \177 0x7f
1715353464.495962 session 0 activity 1715353464.495959 (last 1715353464.070608)
1715353464.495967 cmd_find_from_session: s=$0
1715353464.495971 cmd_find_from_session: wl=0 1 w=@0 bash
1715353464.495978 cmd_find_from_session: wp=%0
1715353464.495981 cmd_find_from_session: idx=none
1715353464.495984 session 0 not pasting
1715353464.495988 key table root (pane %0)
1715353464.495991 not found in key table root
1715353464.495995 writing key 0x10000045 (BSpace) to %0
1715353464.496000 found key 0x10000045: "\177"
1715353464.496007 cmdq_next <global>: empty
1715353464.496011 cmdq_next <0x564c020cee30>: empty
1715353464.496017 @0 active pane not changed
1715353464.496923 cmdq_next <global>: empty
1715353464.496935 cmdq_next <0x564c020cee30>: empty
1715353464.496944 @0 active pane not changed
1715353464.497063 %0 has 4 bytes
1715353464.497067 @0 alerts timer reset 0
1715353464.497072 screen_write_start: size 251x21, pane %0
1715353464.497076 input_parse: %0 ground, 4 bytes: \b\033[K
1715353464.497080 input_c0_dispatch: '\b'
1715353464.497084 input_csi_dispatch: 'K' "" ""
1715353464.497089 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353464.497093 tty_clear_line: 192 at 59,13
1715353464.497096 /dev/pts/25: \b
1715353464.497099 /dev/pts/25: \033[K
1715353464.497102 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353464.497106 screen_write_stop: 0 cells (0 written, 0 skipped)
1715353464.497109 cmdq_next <global>: empty
1715353464.497113 cmdq_next <0x564c020cee30>: empty
1715353464.497116 @0 active pane changed
1715353464.497120 @0 name timer queued (234822 left)
1715353464.497129 /dev/pts/25: wrote 4 bytes (of 4)
1715353464.497131 cmdq_next <global>: empty
1715353464.497134 cmdq_next <0x564c020cee30>: empty
1715353464.497137 @0 active pane changed
1715353464.497141 @0 name timer already queued (234802 left)
1715353464.732452 @0 name timer expired
1715353464.732498 cmdq_next <global>: empty
1715353464.732504 cmdq_next <0x564c020cee30>: empty
1715353464.732514 @0 active pane changed
1715353464.732589 format '#{pane_current_command}' -> 'bash'
1715353464.732595 format '' -> ''
1715353464.732600 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353464.733484 @0 name not changed (still bash)
1715353464.744818 /dev/pts/25: read 1 bytes (already 0)
1715353464.744839 /dev/pts/25: keys are 1 (\177)
1715353464.744844 /dev/pts/25: next key is 1 (\177) (expired=0)
1715353464.744848 /dev/pts/25: complete key \177 0x7f
1715353464.744854 session 0 activity 1715353464.744851 (last 1715353464.495959)
1715353464.744859 cmd_find_from_session: s=$0
1715353464.744863 cmd_find_from_session: wl=0 1 w=@0 bash
1715353464.744866 cmd_find_from_session: wp=%0
1715353464.744869 cmd_find_from_session: idx=none
1715353464.744872 session 0 not pasting
1715353464.744876 key table root (pane %0)
1715353464.744879 not found in key table root
1715353464.744884 writing key 0x10000045 (BSpace) to %0
1715353464.744888 found key 0x10000045: "\177"
1715353464.744894 cmdq_next <global>: empty
1715353464.745670 cmdq_next <0x564c020cee30>: empty
1715353464.745678 @0 active pane not changed
1715353464.745693 cmdq_next <global>: empty
1715353464.745697 cmdq_next <0x564c020cee30>: empty
1715353464.745701 @0 active pane not changed
1715353464.745764 %0 has 4 bytes
1715353464.745770 @0 alerts timer reset 0
1715353464.745776 screen_write_start: size 251x21, pane %0
1715353464.745780 input_parse: %0 ground, 4 bytes: \b\033[K
1715353464.745784 input_c0_dispatch: '\b'
1715353464.745789 input_csi_dispatch: 'K' "" ""
1715353464.745793 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353464.745798 tty_clear_line: 193 at 58,13
1715353464.745801 /dev/pts/25: \b
1715353464.745804 /dev/pts/25: \033[K
1715353464.745807 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353464.745810 screen_write_stop: 0 cells (0 written, 0 skipped)
1715353464.745855 cmdq_next <global>: empty
1715353464.745858 cmdq_next <0x564c020cee30>: empty
1715353464.745862 @0 active pane changed
1715353464.745865 @0 name timer queued (486652 left)
1715353464.745875 /dev/pts/25: wrote 4 bytes (of 4)
1715353464.745877 cmdq_next <global>: empty
1715353464.745880 cmdq_next <0x564c020cee30>: empty
1715353464.745884 @0 active pane changed
1715353464.745892 @0 name timer already queued (486625 left)
1715353464.967998 /dev/pts/25: read 1 bytes (already 0)
1715353464.968030 /dev/pts/25: keys are 1 (m)
1715353464.968036 /dev/pts/25: next key is 1 (m) (expired=0)
1715353464.968041 /dev/pts/25: complete key m 0x6d
1715353464.968047 session 0 activity 1715353464.968044 (last 1715353464.744851)
1715353464.968053 cmd_find_from_session: s=$0
1715353464.968056 cmd_find_from_session: wl=0 1 w=@0 bash
1715353464.968059 cmd_find_from_session: wp=%0
1715353464.968062 cmd_find_from_session: idx=none
1715353464.968065 session 0 not pasting
1715353464.968069 key table root (pane %0)
1715353464.968073 not found in key table root
1715353464.968089 writing key 0x6d (m) to %0
1715353464.968097 cmdq_next <global>: empty
1715353464.968101 cmdq_next <0x564c020cee30>: empty
1715353464.968109 @0 active pane changed
1715353464.968112 @0 name timer already queued (264405 left)
1715353464.968125 cmdq_next <global>: empty
1715353464.968128 cmdq_next <0x564c020cee30>: empty
1715353464.968132 @0 active pane changed
1715353464.968135 @0 name timer already queued (264382 left)
1715353464.968205 %0 has 1 bytes
1715353464.968992 @0 alerts timer reset 0
1715353464.969026 screen_write_start: size 251x21, pane %0
1715353464.969035 input_parse: %0 ground, 1 bytes: m
1715353464.969044 screen_write_collect_end: 1 m (at 58,13)
1715353464.969053 /dev/pts/25: m
1715353464.969062 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353464.969069 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353464.969077 cmdq_next <global>: empty
1715353464.969084 cmdq_next <0x564c020cee30>: empty
1715353464.969091 @0 active pane changed
1715353464.969099 @0 name timer already queued (263419 left)
1715353464.969120 /dev/pts/25: wrote 1 bytes (of 1)
1715353464.969127 cmdq_next <global>: empty
1715353464.969133 cmdq_next <0x564c020cee30>: empty
1715353464.969139 @0 active pane changed
1715353464.969145 @0 name timer already queued (263372 left)
1715353465.125993 /dev/pts/25: read 1 bytes (already 0)
1715353465.126025 /dev/pts/25: keys are 1 (u)
1715353465.126030 /dev/pts/25: next key is 1 (u) (expired=0)
1715353465.126035 /dev/pts/25: complete key u 0x75
1715353465.126041 session 0 activity 1715353465.126038 (last 1715353464.968044)
1715353465.126047 cmd_find_from_session: s=$0
1715353465.126051 cmd_find_from_session: wl=0 1 w=@0 bash
1715353465.126053 cmd_find_from_session: wp=%0
1715353465.126056 cmd_find_from_session: idx=none
1715353465.126059 session 0 not pasting
1715353465.126063 key table root (pane %0)
1715353465.126067 not found in key table root
1715353465.126071 writing key 0x75 (u) to %0
1715353465.126078 cmdq_next <global>: empty
1715353465.126083 cmdq_next <0x564c020cee30>: empty
1715353465.126089 @0 active pane changed
1715353465.126093 @0 name timer already queued (106424 left)
1715353465.126107 cmdq_next <global>: empty
1715353465.126984 cmdq_next <0x564c020cee30>: empty
1715353465.126990 @0 active pane changed
1715353465.126993 @0 name timer already queued (105524 left)
1715353465.127003 %0 has 1 bytes
1715353465.127007 @0 alerts timer reset 0
1715353465.127013 screen_write_start: size 251x21, pane %0
1715353465.127017 input_parse: %0 ground, 1 bytes: u
1715353465.127022 screen_write_collect_end: 1 u (at 59,13)
1715353465.127026 /dev/pts/25: u
1715353465.127030 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353465.127034 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353465.127037 cmdq_next <global>: empty
1715353465.127040 cmdq_next <0x564c020cee30>: empty
1715353465.127044 @0 active pane changed
1715353465.127046 @0 name timer already queued (105471 left)
1715353465.127056 /dev/pts/25: wrote 1 bytes (of 1)
1715353465.127059 cmdq_next <global>: empty
1715353465.127062 cmdq_next <0x564c020cee30>: empty
1715353465.127065 @0 active pane changed
1715353465.127067 @0 name timer already queued (105450 left)
1715353465.234258 @0 name timer expired
1715353465.234304 cmdq_next <global>: empty
1715353465.234316 cmdq_next <0x564c020cee30>: empty
1715353465.234329 @0 active pane changed
1715353465.234460 format '#{pane_current_command}' -> 'bash'
1715353465.235331 format '' -> ''
